frame,time,air_ground,polynomial_x,polynomial_y,polynomial_z,bezier_x,bezier_y,bezier_z,exponential_x,exponential_y,exponential_z,mu_s_x,mu_s_y,mu_s_z,ball_x,ball_y,ball_z
70,2.033333,air,28.839862,17.583942,-7.000355,29.202056,15.362134,-6.241289,29.524934,15.111897,-6.184058,28.839861,17.599818,-7.000340,29.524934,15.111897,-6.184058
71,2.066667,air,29.126360,17.200509,-6.924535,29.490671,14.965719,-6.161034,29.787867,14.795387,-6.121681,29.126360,17.194811,-6.924521,29.787867,14.795387,-6.121681
72,2.100000,air,29.416536,16.803059,-6.842625,29.780727,14.569000,-6.079374,30.050894,14.478121,-6.057912,29.416536,16.776178,-6.842611,30.050894,14.478121,-6.057912
73,2.133333,air,29.710390,16.391592,-6.754626,30.072126,14.172595,-5.996520,30.314006,14.160158,-5.992818,29.710389,16.343918,-6.754612,30.314006,14.160158,-5.992818
74,2.166667,air,30.007921,15.966109,-6.660538,30.364765,13.777120,-5.912684,30.577194,13.841558,-5.926464,30.007920,15.898033,-6.660524,30.577194,13.841558,-5.926464
75,2.200000,air,30.309130,15.526609,-6.560359,30.658544,13.383192,-5.828075,30.840451,13.522371,-5.858909,30.309129,15.438521,-6.560346,30.840451,13.522371,-5.858909
76,2.233333,air,30.614016,15.073092,-6.454092,30.953364,12.991429,-5.742905,31.103770,13.202645,-5.790212,30.614015,14.965384,-6.454078,31.103770,13.202645,-5.790212
77,2.266667,air,30.922580,14.605559,-6.341734,31.249122,12.602448,-5.657385,31.367146,12.882425,-5.720429,30.922579,14.478620,-6.341721,31.367146,12.882425,-5.720429
78,2.300000,air,31.234821,14.124009,-6.223287,31.545719,12.216865,-5.571724,31.630572,12.561752,-5.649611,31.234820,13.978230,-6.223275,31.630572,12.561752,-5.649611
79,2.333333,air,31.550740,13.628442,-6.098751,31.843055,11.835297,-5.486135,31.894045,12.240661,-5.577809,31.550739,13.464214,-6.098738,31.894045,12.240661,-5.577809
80,2.366667,air,31.870337,13.118858,-5.968125,32.141027,11.458362,-5.400827,32.157559,11.919188,-5.505070,31.870336,12.936571,-5.968113,32.157559,11.919188,-5.505070
81,2.400000,air,32.193611,12.595257,-5.831409,32.439537,11.086676,-5.316013,32.421111,11.597363,-5.431440,32.193610,12.395303,-5.831397,32.421111,11.597363,-5.431440
82,2.433333,air,32.520563,12.057640,-5.688604,32.738482,10.720857,-5.231901,32.684697,11.275216,-5.356962,32.520562,11.840408,-5.688593,32.684697,11.275216,-5.356962
83,2.466667,air,32.851192,11.506006,-5.539710,33.037764,10.361521,-5.148704,32.948313,10.952773,-5.281676,32.851191,11.271887,-5.539698,32.948313,10.952773,-5.281676
84,2.500000,air,33.185500,10.940355,-5.384725,33.337280,10.009286,-5.066631,33.211957,10.630057,-5.205622,33.185498,10.689740,-5.384714,33.211957,10.630057,-5.205622
85,2.533333,air,33.523484,10.360688,-5.223651,33.636931,9.664768,-4.985895,33.475626,10.307092,-5.128836,33.523483,10.093967,-5.223641,33.475626,10.307092,-5.128836
86,2.566667,air,33.865146,9.767004,-5.056488,33.936616,9.328585,-4.906705,33.739318,9.983897,-5.051355,33.865145,9.484567,-5.056478,33.739318,9.983897,-5.051355
87,2.600000,air,34.210486,9.159303,-4.883235,34.236235,9.001353,-4.829272,34.003030,9.660492,-4.973211,34.210485,8.861542,-4.883225,34.003030,9.660492,-4.973211
88,2.633333,air,34.559504,8.537585,-4.703892,34.535686,8.683690,-4.753808,34.266761,9.336894,-4.894437,34.559502,8.224890,-4.703883,34.266761,9.336894,-4.894437
89,2.666667,air,34.912198,7.901851,-4.518460,34.834869,8.376212,-4.680523,34.530508,9.013117,-4.815064,34.912197,7.574612,-4.518451,34.530508,9.013117,-4.815064
90,2.700000,air,35.268571,7.252099,-4.326939,35.133684,8.079536,-4.609627,34.794270,8.689178,-4.735119,35.268570,6.910708,-4.326930,34.794270,8.689178,-4.735119
91,2.733333,air,35.628621,6.588331,-4.129327,35.432030,7.794280,-4.541332,35.058046,8.365089,-4.654631,35.628620,6.233178,-4.129319,35.058046,8.365089,-4.654631
92,2.766667,air,35.992349,5.910547,-3.925626,35.729807,7.521061,-4.475848,35.321835,8.040863,-4.573626,35.992348,5.542022,-3.925618,35.321835,8.040863,-4.573626
93,2.800000,air,36.359754,5.218745,-3.715836,36.026913,7.260495,-4.413386,35.585634,7.716510,-4.492130,36.359753,4.837239,-3.715829,35.585634,7.716510,-4.492130
94,2.833333,air,36.730837,4.512927,-3.499956,36.323249,7.013199,-4.354158,35.849444,7.392042,-4.410165,36.730836,4.118831,-3.499949,35.849444,7.392042,-4.410165
95,2.866667,air,37.105598,3.793092,-3.277987,36.618713,6.779791,-4.298373,36.113262,7.067467,-4.327754,37.105596,3.386796,-3.277980,36.113262,7.067467,-4.327754
96,2.900000,air,37.484036,3.059241,-3.049928,36.913206,6.560888,-4.246242,36.377089,6.742795,-4.244919,37.484035,2.641135,-3.049921,36.377089,6.742795,-4.244919
97,2.933333,air,37.866152,2.311372,-2.815779,37.206626,6.357106,-4.197977,36.640923,6.418032,-4.161681,37.866150,1.881848,-2.815773,36.640923,6.418032,-4.161681
98,2.966667,air,38.251945,1.549487,-2.575541,37.498873,6.169062,-4.153788,36.904764,6.093188,-4.078059,38.251944,1.108934,-2.575536,36.904764,6.093188,-4.078059
