frame,center_x,center_y,diameter,air_ground,ball_x_raw,ball_y_raw,ball_z_raw,ball_x_fitted,ball_y_fitted,ball_z_fitted,cam_x,cam_y,cam_z,roll,pitch,yaw
74,800.000000,430.000000,19.010000,air,,,,30.577194,13.841558,-5.926464,1.176099,69.723387,-17.491266,-76.854360,-28.766180,-6.106083
75,799.000000,431.000000,18.920000,air,,,,30.840451,13.522371,-5.858909,1.176099,69.723387,-17.491266,-76.876165,-28.835056,-6.107682
76,800.000000,434.000000,18.830000,air,,,,31.103770,13.202645,-5.790212,1.176099,69.723387,-17.491266,-76.898171,-28.904810,-6.109307
77,800.000000,435.000000,18.730000,air,,,,31.367146,12.882425,-5.720429,1.176099,69.723387,-17.491266,-76.920380,-28.975443,-6.110958
78,801.000000,435.000000,18.640000,air,,,,31.630572,12.561752,-5.649611,1.176099,69.723387,-17.491266,-76.942791,-29.046954,-6.112634
79,801.000000,439.000000,18.550000,air,,,,31.894045,12.240661,-5.577809,1.176099,69.723387,-17.491266,-76.965406,-29.119343,-6.114334
80,800.000000,441.000000,18.460000,air,,,,32.157559,11.919188,-5.505070,1.176099,69.723387,-17.491266,-76.988224,-29.192610,-6.116056
81,799.000000,442.000000,18.360000,air,,,,32.421111,11.597363,-5.431440,1.176099,69.723387,-17.491266,-77.011245,-29.266755,-6.117800
82,798.000000,446.000000,18.270000,air,,,,32.684697,11.275216,-5.356962,1.176099,69.723387,-17.491266,-77.034471,-29.341778,-6.119565
83,799.000000,447.000000,18.180000,air,,,,32.948313,10.952773,-5.281676,1.176099,69.723387,-17.491266,-77.057902,-29.417680,-6.121349
84,797.000000,449.000000,18.080000,air,,,,33.211957,10.630057,-5.205622,1.176099,69.723387,-17.491266,-77.081537,-29.494459,-6.123152
85,798.000000,452.000000,17.990000,air,,,,33.475626,10.307092,-5.128836,1.176099,69.723387,-17.491266,-77.105378,-29.572116,-6.124972
86,796.000000,458.000000,17.890000,air,,,,33.739318,9.983897,-5.051355,1.176099,69.723387,-17.491266,-77.129425,-29.650652,-6.126809
87,795.000000,462.000000,17.790000,air,,,,34.003030,9.660492,-4.973211,1.176099,69.723387,-17.491266,-77.153679,-29.730065,-6.128662
88,794.000000,466.000000,17.690000,air,,,,34.266761,9.336894,-4.894437,1.176099,69.723387,-17.491266,-77.178139,-29.810356,-6.130529
89,794.000000,467.000000,17.600000,air,,,,34.530508,9.013117,-4.815064,1.176099,69.723387,-17.491266,-77.202807,-29.891524,-6.132409
90,792.000000,469.000000,17.500000,air,,,,34.794270,8.689178,-4.735119,1.176099,69.723387,-17.491266,-77.227683,-29.973570,-6.134301
91,790.000000,473.000000,17.400000,air,,,,35.058046,8.365089,-4.654631,1.176099,69.723387,-17.491266,-77.252768,-30.056494,-6.136204
92,787.000000,478.000000,17.300000,air,,,,35.321835,8.040863,-4.573626,1.176099,69.723387,-17.491266,-77.278061,-30.140295,-6.138117
93,787.000000,481.000000,17.200000,air,,,,35.585634,7.716510,-4.492130,1.176099,69.723387,-17.491266,-77.303564,-30.224973,-6.140038
94,786.000000,489.000000,17.100000,air,,,,35.849444,7.392042,-4.410165,1.176099,69.723387,-17.491266,-77.329276,-30.310528,-6.141967
95,784.000000,489.000000,17.000000,air,,,,36.113262,7.067467,-4.327754,1.176099,69.723387,-17.491266,-77.355199,-30.396961,-6.143902
96,782.000000,492.000000,16.900000,air,,,,36.377089,6.742795,-4.244919,1.176099,69.723387,-17.491266,-77.381334,-30.484270,-6.145843
97,782.000000,500.000000,16.820000,air,,,,36.640923,6.418032,-4.161681,1.176099,69.723387,-17.491266,-77.407680,-30.572456,-6.147787
98,779.000000,505.000000,16.770000,air,,,,36.904764,6.093188,-4.078059,1.176099,69.723387,-17.491266,-77.434238,-30.661519,-6.149734
